ngpus,size,T,seed,msec,gflops,bandwidth
1,16384,100,123,54,1510.64,756.31
1,81920,100,123,843,1592.58,796.92
1,114688,100,123,1629,1615.21,808.06
1,147456,100,123,2676,1625.31,813.01
1,180224,100,123,3984,1630.76,815.67
2,16384,100,123,42,1313.60,657.66
2,81920,100,123,459,1462.47,731.81
2,114688,100,123,869,1513.91,757.38
2,147456,100,123,1414,1537.95,769.31
2,180224,100,123,2090,1554.29,777.43
2,212992,100,123,2906,1561.27,780.87
2,245760,100,123,3854,1567.29,783.85
4,16384,100,123,52,1233.96,617.46
4,114688,100,123,489,1345.19,672.97
4,147456,100,123,777,1399.39,700.00
4,180224,100,123,1133,1433.57,717.04
4,212992,100,123,1555,1458.85,729.65
4,245760,100,123,2053,1471.10,735.74
4,278528,100,123,2622,1479.48,739.91
4,311296,100,123,3256,1488.21,744.26
4,344064,100,123,3969,1491.41,745.84
